radiation,temperature,pressure,humidity,hour_sin,hour_cos,zonal_wind_u,meridional_wind_v,seasonal_pc1
2.58,51,30.43,103,0.0005817763845130675,0.999999830768105,10.973467114014749,2.4790158324699805,2.6705108290389616
2.83,51,30.43,103,0.022541926664953887,0.9997458984873265,4.024212672196506,-8.050199523548038,2.6705108290389616
2.16,51,30.43,103,0.0875904063740693,0.9961565743954237,4.840925065691315,-6.205025745987002,2.6705108290389616
2.21,51,30.43,103,0.10922831673164625,0.9940166873971338,10.549612136584873,-14.584432925815838,2.6705108290389616
2.25,51,30.43,103,0.13117506336144724,0.9913592198351313,10.387623433935184,4.319696678559806,2.6705108290389616
2.15,51,30.43,103,0.19537561263153058,0.9807284894346927,4.167899822302633,1.696647008440376,2.6705108290389616
2.07,51,30.43,103,0.2168655828160201,0.9762014745890666,0.4451644100192955,-1.0277298516887465,2.6705108290389616
2.06,52,30.43,103,0.23796843422086925,0.971272888695277,7.394440895016129,2.6942798388647504,2.6705108290389616
2.1,52,30.43,103,0.259310720304872,0.9657939481768192,4.496832160192528,-0.16882097931893153,2.6705108290389616
2.07,52,30.42,103,0.28017807950282936,0.9599480422221331,4.17731063341941,1.6733427239872678,2.6705108290389616
2.1,51,30.42,103,0.30112190838906483,0.9535856523082379,1.681359495886488,-4.1740903494764385,2.6705108290389616
2.4,51,30.42,103,0.32240337637517824,0.9466023784577583,2.15219496992285,2.5932521688873185,2.6705108290389616
2.06,51,30.42,103,0.342225144311934,0.939617981203359,-0.4132556610373778,-7.859142431501071,2.6705108290389616
3.55,51,30.42,103,0.3628446689185916,0.9318496371396824,4.159858313850602,-1.7162688625876847,2.6705108290389616
3.63,52,30.41,103,0.3832208588969973,0.9236567399777083,3.313247024624026,0.6158686173365544,2.6705108290389616
3.76,52,30.41,103,0.40301292613211787,0.9151942861329654,7.225518569827537,-7.085639095881006,2.6705108290389616
3.25,52,30.42,103,0.42307956689807263,0.906092533946362,3.3305991367205827,0.5138184411600161,2.6705108290389616
3.9,52,30.41,103,0.4428103947505852,0.896615276638108,-5.619802784525061,0.047081451171011875,2.6705108290389616
3.13,51,30.41,103,0.46452007679556806,0.8855625885581659,0.8820679694003577,-5.550347385286612,2.6705108290389616
3.37,51,30.42,103,0.48124377804158736,0.8765868046555683,5.136516403340224,2.280482238084044,2.6705108290389616
3.51,51,30.41,103,0.5003148626629134,0.8658435414083714,10.201696522885364,-10.472334412868445,2.6705108290389616
2.84,51,30.41,103,0.5190840785878216,0.8547231828824068,9.808521232057913,-7.537228352668447,2.6705108290389616
3.26,51,30.41,103,0.5378514916368448,0.8430396034256168,1.679173716913006,-4.174970135034329,2.6705108290389616
2.57,51,30.41,103,0.5557516183261338,0.8313483858935935,9.254561306141047,-8.207922698885321,2.6705108290389616
2.58,51,30.41,103,0.5740529025983118,0.8188182124369567,1.8038070765594025,-7.660494764083729,2.6705108290389616
3.24,51,30.4,103,0.591661469903397,0.806186520001266,8.465796504055094,-3.0545522670153424,2.6705108290389616
2.87,51,30.4,103,0.6091075367459394,0.7930876424956413,8.665511697677408,-11.775113885539112,2.6705108290389616
2.52,51,30.4,103,0.6264904546249935,0.7794290925182155,5.414290447826502,-1.5066051063814618,2.6705108290389616
2.74,51,30.4,103,0.6432888468914367,0.7656235755677104,9.958852252490122,-5.232949628371407,2.6705108290389616
2.3,51,30.4,103,0.6595644885361998,0.751647979749817,10.742831815956025,-6.1325740577740255,2.6705108290389616
2.25,51,30.4,103,0.6759654343111038,0.7369333291530522,2.427842124113778,-8.666347709409004,2.6705108290389616
2.12,51,30.4,103,0.6917231536817174,0.7221627785067707,0.9043824974759097,-2.060240835014013,2.6705108290389616
1.94,51,30.4,103,0.7226153555440529,0.6912503511260895,4.496832160192528,0.16882097931893206,2.6705108290389616
2.03,51,30.4,103,0.7375720484550995,0.6752684453887567,7.690225455803066,1.672522776801119,2.6705108290389616
2.26,51,30.4,103,0.7521274297845737,0.6590177003432086,1.119870886122769,-0.01700583472235244,2.6705108290389616
2.27,51,30.4,103,0.7664182721313985,0.6423418343398799,8.821196504024273,1.7850748548422095,2.6705108290389616
2.63,51,30.4,103,0.7804304073383297,0.6252426563357052,2.104471322651083,0.7960530460586166,2.6705108290389616
2.93,51,30.4,103,0.7935746397427613,0.6084729173571709,4.41214930517825,0.884838125769391,2.6705108290389616
2.59,51,30.4,103,0.8067455085225939,0.5908990476203372,4.399478791666331,3.4969967631781076,2.6705108290389616
2.83,51,30.4,102,0.8194855988877211,0.5730997759689259,6.696181983008773,-0.8506743504001323,2.6705108290389616
2.17,51,30.4,102,0.8317523200106084,0.5551468978180194,6.661656449942952,1.0885005020363883,2.6705108290389616
2.12,50,30.4,102,0.8435477042490864,0.5370542529913489,8.826760942025487,-1.7573534853106043,2.6705108290389616
2.02,50,30.4,102,0.8553642601605066,0.5180270093731303,0.6926057937901736,-3.298059613531612,2.6705108290389616
1.69,50,30.4,102,0.8661708112469395,0.4997480622711995,7.703332345560891,-6.563007753601646,2.6705108290389616
2.03,49,30.4,102,0.8769714915334648,0.48054240503577844,4.473451739405912,-6.474961740057327,2.6705108290389616
3.35,49,30.4,102,0.887111549988348,0.4615550865035189,7.266719682228436,3.021867809801393,2.6705108290389616
2.34,49,30.41,102,0.8970013601508156,0.44202778180515634,6.501275658537801,-6.223617502040423,2.6705108290389616
2.2,49,30.41,102,0.9064306833599765,0.4223546096156239,8.312509295582888,-3.4499549577998936,2.6705108290389616
